username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
anchor_rajesh;2017-01-05 22:24;1;4;"#Jallikattu Pathi Oru Video Ready Panunen aana adha Upload panidurenu oruthan sonnadha nambi vandha avan ippa enkita jalikattu veladitan";;;#Jallikattu;"817051582659514368";https://twitter.com/anchor_rajesh/status/817051582659514368
VigneshSemi96;2017-01-05 22:16;0;0;"#jallikattu https:// twitter.com/PoetThamarai/s tatus/817040901453189120 …";;;#jallikattu;"817049671428349952";https://twitter.com/VigneshSemi96/status/817049671428349952
Tamizhanda19;2017-01-05 22:13;0;2;"#jallikattu";;;#jallikattu;"817048795557097473";https://twitter.com/Tamizhanda19/status/817048795557097473
vasu_svs;2017-01-05 22:08;1;1;"#jallikattu #SaveJallikattu pic.twitter.com/eAcASfs5p6";;;#jallikattu #SaveJallikattu;"817047616588365824";https://twitter.com/vasu_svs/status/817047616588365824
SIBINDEV;2017-01-05 22:07;6;7;"Support #jallikattu @jallikattu_ @Tamilandacom pic.twitter.com/OKX2FD5UbS";;@jallikattu_ @Tamilandacom;#jallikattu;"817047436979892224";https://twitter.com/SIBINDEV/status/817047436979892224
Srithesamaritan;2017-01-05 22:06;0;0;"Animal blindness: a 'state' where #jallikattu is banned from playing but #mutton is available for eating ;-) #TN_needs_JALLIKATTU";;;#jallikattu #mutton #TN_needs_JALLIKATTU;"817047059270369280";https://twitter.com/Srithesamaritan/status/817047059270369280
kampan98;2017-01-05 21:59;0;0;"Merge all the Indian rivers and let allow #Jallikattu & say get out for #PETA . Who the hell are they interrupt our tradition";;;#Jallikattu #PETA;"817045370194661376";https://twitter.com/kampan98/status/817045370194661376
akhils_coool;2017-01-05 21:58;0;0;"#tnneedjallikatu #WeWantJallikattu #jallikattu";;;#tnneedjallikatu #WeWantJallikattu #jallikattu;"817045098840162306";https://twitter.com/akhils_coool/status/817045098840162306
Susri1210;2017-01-05 21:58;0;0;"Amazing! #Jallikattu = bullfight??! https:// twitter.com/realitycheckin d/status/816984410138386432 …";;;#Jallikattu;"817045092846313472";https://twitter.com/Susri1210/status/817045092846313472
kampan98;2017-01-05 21:57;0;1;"First of all merge all Indian rivers and let #Jallikattu . Say get out to #Peta https:// twitter.com/narendramodi/s tatus/817013057658318848 …";;;#Jallikattu #Peta;"817044812742291456";https://twitter.com/kampan98/status/817044812742291456
mithunakil7;2017-01-05 21:56;1;0;"#Jallikattu WeWantJallikattu pic.twitter.com/Qp2USZD8EM";;;#Jallikattu;"817044605422055425";https://twitter.com/mithunakil7/status/817044605422055425
mithunakil7;2017-01-05 21:56;0;0;"#Jallikattu WeWantJallikattu pic.twitter.com/N18djO5p4Y";;;#Jallikattu;"817044524308385794";https://twitter.com/mithunakil7/status/817044524308385794
Selvaa__;2017-01-05 21:55;0;0;"#jallikattu பதிலா #jayalalithaa னு போட்டேன்.";;;#jallikattu #jayalalithaa;"817044396575227904";https://twitter.com/Selvaa__/status/817044396575227904
Srithesamaritan;2017-01-05 21:44;0;0;"'Animal blindness': a 'state' where #jallikattu is banned for playing and #mutton is available for consumption.";;;#jallikattu #mutton;"817041588643827715";https://twitter.com/Srithesamaritan/status/817041588643827715
PoetThamarai;2017-01-05 21:41;420;816;"It isn't about harming them but about caring for them. Save our culture #jallikattu pic.twitter.com/NN6caC6Lp7";;;#jallikattu;"817040901453189120";https://twitter.com/PoetThamarai/status/817040901453189120
TrendsAadhi;2017-01-05 21:37;8;8;"#tnneedjallikatu #jallikattu #tnneedjallikatu @hiphoptamizha pic.twitter.com/7whDit8Mpl";;@hiphoptamizha;#tnneedjallikatu #jallikattu #tnneedjallikatu;"817039762745737216";https://twitter.com/TrendsAadhi/status/817039762745737216
kovaisid;2017-01-05 21:21;0;0;"we need #jallikattu ... @SupremeCourtIND";;@SupremeCourtIND;#jallikattu;"817035819315765249";https://twitter.com/kovaisid/status/817035819315765249
