"ID;""tweet"";""username"""
"176;""RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization https:tco9NheK63TPg"";""sainath_kits"""
"177;""RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding seasonhttps:t¸æçì†º"";""unbrahmachari"""
"178;""RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp"";""munireddyab"""
"179;""#Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding season¸æçì†º https:tco6QNe6KGqaO"";""ZeeNewsSports"""
"180;""RT @ashu3page: A man shaved his head at JantarMantar in protest against #Demonetization on 13th day of the move https:tcoIeXuia3J0X"";""PramodKr7227"""
"181;""RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM Its clearly fishy and requires full disclosure &amp"";""AdMathura"""
"182;""RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization 5 lakh response in 24 hrs 90% supports note ban #MeraDeshBadalRaha¸æçì†º"";""Jaishankar_Sing"""
"183;""RT @_Hinduism_: How come those people crying for line in banks are not crying for line ups here in#demonetization https:tcoixY1¸æçì†º"";""_Hinduism_"""
"184;""RT @ShashiTharoor: @anandkamal Frankly i dont understand why @narendramodi doesnt address Parlmnt on #Demonetization Its his duty&amp"";""CongressALL"""
"185;""RT @kanimozhi: Ts is exactly what Pappu &amp"";""JaihindRayudu"""
"186;""RT @myvotetoday: Modis #demonetization received massive public approval So why is opposition worried about common man and create ruckus i¸æçì†º"";""achintparikh"""
