"","retweeters","tweeters","edge_type","weight"
"5138","harbhajan_singh","ssp79","Mention_edge",1
"5139","JantaKaReporter","ssrissam84","Mention_edge",1
"5140","drtamilisaibjp","ssrk15","Mention_edge",1
"5141","RNTata2000","ssrk15","Mention_edge",1
"5142","anandkamal","ssshukla4","Mention_edge",1
"5143","narendramodi","ssshukla4","Mention_edge",1
"5144","","sswami328","Mention_edge",1
"5145","arunjaitley","sswami328","Mention_edge",2
"5146","narendramodi","sswami328","Mention_edge",1
"5147","P…","sswami328","Mention_edge",1
"5148","Ave_Six","stackorstarvdjs","Mention_edge",1
"5149","KEYESEN2000","stackorstarvdjs","Mention_edge",1
"5150","rassboteen","stackorstarvdjs","Mention_edge",1
"5151","VikHasya","stiffupperhip","Mention_edge",1
"5152","YouTube","stitchard","Mention_edge",2
"5153","DasShaktikanta","strategicpolicy","Mention_edge",1
"5154","FinMinIndia","strategicpolicy","Mention_edge",1
"5155","","strategy_indica","Mention_edge",1
"5156","arunjaitley","strategy_indica","Mention_edge",2
"5157","narendramodi","strategy_indica","Mention_edge",2
"5158","P…","strategy_indica","Mention_edge",1
"5159","ArvindKejriwal","streetbuzzapp","Mention_edge",1
"5160","","stupiditysensor","Mention_edge",1
"5161","…","stupidosaur","Mention_edge",1
"5162","AamAadmiParty","stupidosaur","Mention_edge",2
"5163","advocategeeta","stupidosaur","Mention_edge",2
"5164","ALPHA_Ronin","stupidosaur","Mention_edge",2
"5165","AnkitLal","stupidosaur","Mention_edge",1
"5166","AnooBhu","stupidosaur","Mention_edge",2
"5167","ArvindKejriwal","stupidosaur","Mention_edge",2
"5168","atrout920","stupidosaur","Mention_edge",2
"5169","BruvPeace","stupidosaur","Mention_edge",1
"5170","CashlessConsumr","stupidosaur","Mention_edge",2
"5171","freespeechin","stupidosaur","Mention_edge",2
"5172","fromkodur","stupidosaur","Mention_edge",1
"5173","FrustuPlayer","stupidosaur","Mention_edge",1
"5174","India_Stack","stupidosaur","Mention_edge",1
"5175","interceptor4h","stupidosaur","Mention_edge",2
"5176","internetfreedom","stupidosaur","Mention_edge",1
"5177","jamewils","stupidosaur","Mention_edge",1
"5178","madmanweb","stupidosaur","Mention_edge",2
"5179","manishonline","stupidosaur","Mention_edge",1
"5180","Memeghnad","stupidosaur","Mention_edge",7
"5181","mgrg7","stupidosaur","Mention_edge",2
"5182","NandanNilekani","stupidosaur","Mention_edge",1
"5183","NandanNilekani…","stupidosaur","Mention_edge",1
"5184","narendramodi","stupidosaur","Mention_edge",2
"5185","nixxin","stupidosaur","Mention_edge",2
