"","retweeters","tweeters","edge_type","weight"
"10503","AmyMek","strauss2512","Tweet_edge",1
"10504","SandraTXAS","strauss2512","Tweet_edge",1
"10505","tteegar","strawberiiflave","Tweet_edge",1
"10506","vkenneth_com","streader52","Tweet_edge",1
"10507","AmyMek","stregin","Tweet_edge",1
"10508","yashar","strikeaholic","Tweet_edge",1
"10509","zlando","strom404","Tweet_edge",1
"10510","UckfayRumptay","strong4humanity","Tweet_edge",1
"10511","PopCrave","strongerfdemilv","Tweet_edge",1
"10512","womensmarch","strugachik","Tweet_edge",1
"10513","yashar","strugachik","Tweet_edge",1
"10514","womensmarch","stuffienjoy","Tweet_edge",3
"10515","TomthunkitsMind","stupjd","Tweet_edge",1
"10516","TEN_GOP","sturmscharfuher","Tweet_edge",1
"10517","zlando","stuyvesant19","Tweet_edge",1
"10518","yashar","styiantour","Tweet_edge",1
"10519","GraziaUK","stylistmichele","Tweet_edge",2
"10520","womensmarch","stylistmichele","Tweet_edge",2
"10521","womensmarch","sublimecabello_","Tweet_edge",1
"10522","AmyMek","subliminal2016","Tweet_edge",1
"10523","UckfayRumptay","suborders15","Tweet_edge",1
"10524","LordSnow","subtlerose_xo","Tweet_edge",1
"10525","yashar","succlet","Tweet_edge",1
"10526","justdahnel","suckafreeq","Tweet_edge",1
"10527","SNSDMusicFacts","suckingksoo","Tweet_edge",1
"10528","LanaParrilla","sucksm5","Tweet_edge",1
"10529","toddwhaines","sudischuricht","Tweet_edge",1
"10530","womensmarch","sue4allofus","Tweet_edge",1
"10531","womensmarch","suefulton","Tweet_edge",1
"10532","ERICBALFOUR","suegrayson","Tweet_edge",1
"10533","DaShanneStokes","sueharm","Tweet_edge",1
"10534","zlando","suej20140172","Tweet_edge",1
"10535","AltHHS","sueleugers","Tweet_edge",1
"10536","ursusmiratus","suemoenius","Tweet_edge",1
"10537","SIFBoston","suemuse","Tweet_edge",1
"10538","yashar","suepeac","Tweet_edge",1
"10539","jesjambag","suepelfrey","Tweet_edge",1
"10540","womensmarch","sueshaw65442837","Tweet_edge",1
"10541","womensmarch","suestewart","Tweet_edge",1
"10542","WipeHomophobia","suetaylorsel","Tweet_edge",1
"10543","womensmarch","suezq12345","Tweet_edge",1
"10544","SuhaibSaqib1","sufia_peace","Tweet_edge",1
"10545","LanaParrilla","sugarlipmichael","Tweet_edge",1
"10546","yashar","suhamusa23","Tweet_edge",1
"10547","yashar","sujanachandrase","Tweet_edge",1
"10548","MensRightsFF","sujit_mumbai","Tweet_edge",1
"10549","yashar","sukhbaatar_j","Tweet_edge",1
"10550","AsraNomani","suki62uk","Tweet_edge",1
"10551","HeidiPrzybyla","sukibeavers","Tweet_edge",1
"10552","womensmarch","sukifrench","Tweet_edge",1
"10553","yashar","sulakcourtney","Tweet_edge",1
"10554","RaquelWillis_","suleikhasnyder","Tweet_edge",1
"10555","paolamendoza","sulipuschban","Tweet_edge",1
"10556","sophiapsaila","sulipuschban","Tweet_edge",1
"10557","DRE7DEN","sullenacid","Tweet_edge",1
"10558","TrumpResist","sulli3000","Tweet_edge",1
"10559","Rosie","sullivanmonty","Tweet_edge",1
"10560","bennydiego","sullyanne1","Tweet_edge",1
"10561","womensmarch","sultana0207","Tweet_edge",1
"10562","womensmarch","sumairaflower","Tweet_edge",1
"10563","KaivanShroff","sumenn7063","Tweet_edge",1
"10564","yashar","sumersloan","Tweet_edge",1
"10565","astroehlein","sumi_poi","Tweet_edge",1
"10566","womensmarch","summerbabiarz","Tweet_edge",1
"10567","1VoiceMatters","summerbreezeme2","Tweet_edge",1
"10568","NC_24","summersalt_55","Tweet_edge",1
"10569","rishibagree","sumodkuhar","Tweet_edge",1
"10570","sumoh7","sumoh7","Tweet_edge",1
"10571","yashar","sumoh7","Tweet_edge",1
"10572","womensmarch","sumrtmesadns","Tweet_edge",1
"10573","HillaryClinton","sunaliaaa","Tweet_edge",1
"10574","PJNET_VT","sunbeltgirl","Tweet_edge",1
"10575","yashar","sundayfitz","Tweet_edge",1
"10576","taylorswift13","sungnonpfebvta1","Tweet_edge",1
"10577","asamjulian","sunlow589","Tweet_edge",1
"10578","tteegar","sunlow589","Tweet_edge",1
"10579","jessica23418012","sunnysgrl62","Tweet_edge",1
"10580","yashar","sunsetsari","Tweet_edge",1
"10581","womensmarch","sunsouders","Tweet_edge",1
"10582","Telegraph","sunyy7","Tweet_edge",1
"10583","womensmarch","super_schildpad","Tweet_edge",1
"10584","SOMEXlCAN","supergeegee22","Tweet_edge",1
"10585","womensmarch","superidolachan","Tweet_edge",2
"10586","yashar","supersophia5213","Tweet_edge",1
"10587","SNSDMusicFacts","supersvt","Tweet_edge",1
"10588","AmyMek","superyayadize","Tweet_edge",1
"10589","tteegar","superyayadize","Tweet_edge",1
"10590","KanchanGupta","supremeharish","Tweet_edge",1
"10591","MensRightsFF","sureshupadhya1","Tweet_edge",1
