"","retweeters","tweeters","edge_type","weight"
"9556","AltNatParkSer","redeatealemu","Tweet_edge",1
"9557","AltNatParkSer","redhead1dernd","Tweet_edge",1
"9558","pnehlen","redheadandright","Tweet_edge",1
"9559","pnehlen","redheadedbird","Tweet_edge",1
"9560","ThePatriot143","redheadedbird","Tweet_edge",1
"9561","NewWaveArmy","redlinessb","Tweet_edge",1
"9562","joekeene","redmcgraw1","Tweet_edge",1
"9563","goldstrom","rednaljsua","Tweet_edge",1
"9564","Instantwhips","rednaljsua","Tweet_edge",1
"9565","iiLoveKARMA_","redneck5781","Tweet_edge",1
"9566","GrrrGraphics","redpilledlondon","Tweet_edge",1
"9567","ThePatriot143","redraider1965","Tweet_edge",1
"9568","ThePatriot143","redrobin62","Tweet_edge",1
"9569","FunnyVines","reds03","Tweet_edge",1
"9570","BarbMuenchen","redstates2blue","Tweet_edge",1
"9571","AltNatParkSer","redwyne","Tweet_edge",1
"9572","rosebuddlove","redz041","Tweet_edge",1
"9573","pnehlen","reeljohnwayne","Tweet_edge",1
"9574","pnehlen","reenale","Tweet_edge",1
"9575","pnehlen","reereec2","Tweet_edge",1
"9576","joekeene","reese_malmgren","Tweet_edge",1
"9577","misslizaface","refocuszone","Tweet_edge",1
"9578","PoliticalHedge","regaindemocracy","Tweet_edge",1
"9579","Charles_HRH","reggiefb","Tweet_edge",1
"9580","uniwave","reginaamelia112","Tweet_edge",1
"9581","ThePatriot143","reginajjk","Tweet_edge",1
"9582","itscomedyVines","reginaldedward3","Tweet_edge",1
"9583","joekeene","reginammullen","Tweet_edge",1
"9584","pnehlen","regluvsjesus","Tweet_edge",1
"9585","iiLoveKARMA_","regnyia__","Tweet_edge",1
"9586","funder","regret_trump","Tweet_edge",1
"9587","DivDas22","rehansaiyed99","Tweet_edge",1
"9588","Charles_HRH","rehemakariuki","Tweet_edge",1
"9589","gov","reiberelisabeth","Tweet_edge",1
"9590","NewsHour","reiberelisabeth","Tweet_edge",1
"9591","WSHHcomedy","reider_samuel","Tweet_edge",1
"9592","joekeene","reillyjosmith","Tweet_edge",1
"9593","LovelaceRyanD","reinadellsur","Tweet_edge",1
"9594","Scout_Finch","reinedelanuit05","Tweet_edge",1
"9595","pnehlen","reinhard_wolff","Tweet_edge",1
"9596","Tamannaahimakar","rekhatamannaah","Tweet_edge",1
"9597","funder","religoused","Tweet_edge",1
"9598","RepStevenSmith","remedialgenius","Tweet_edge",1
"9599","ThePatriot143","remixtup","Tweet_edge",1
"9600","BarbMuenchen","rena01311964","Tweet_edge",1
"9601","RepStevenSmith","rena01311964","Tweet_edge",1
"9602","ThePatriot143","renee60832730","Tweet_edge",1
"9603","Thomas1774Paine","renee60832730","Tweet_edge",1
"9604","ThePatriot143","reneesi2168","Tweet_edge",1
"9605","RCIisLeaking","reneeyg210","Tweet_edge",1
"9606","pnehlen","renegadeseeker","Tweet_edge",1
"9607","ThePatriot143","renlightenment","Tweet_edge",1
"9608","3lectric5heep","rennaw","Tweet_edge",1
"9609","joekeene","renograjeda1","Tweet_edge",1
"9610","Charles_HRH","rensslin","Tweet_edge",1
"9611","FoxNews","report_baseball","Tweet_edge",1
"9612","MMUSA_PPN","reportgoldfish","Tweet_edge",1
"9613","rajmathai","repswalwell","Tweet_edge",1
"9614","ThePatriot143","republicat777","Tweet_edge",1
"9615","ThePatriot143","republicchic76","Tweet_edge",1
"9616","JahovasWitniss","rese1k","Tweet_edge",1
"9617","WSHHcomedy","reside_gibba","Tweet_edge",1
"9618","AltNatParkSer","resistancerat","Tweet_edge",1
"9619","AngryBlackLady","resister2016","Tweet_edge",1
"9620","joekeene","respectinc","Tweet_edge",1
"9621","pnehlen","restorefeminin2","Tweet_edge",1
"9622","GeraldoRivera","retired9941","Tweet_edge",1
"9623","ANicB1","retiredfirecapt","Tweet_edge",1
"9624","pnehlen","retirednbored","Tweet_edge",1
"9625","TheMarkRomano","retirednbored","Tweet_edge",1
"9626","DonaldJTrumpJr","rettinol","Tweet_edge",1
"9627","Thomas1774Paine","rettinol","Tweet_edge",1
"9628","69sonar","retweetilating","Tweet_edge",1
"9629","MMUSA_PPN","revelation_news","Tweet_edge",1
"9630","DankMemes","reverseio1","Tweet_edge",1
"9631","pnehlen","revkahjc","Tweet_edge",1
"9632","NotAnInch","revmelanienola","Tweet_edge",1
"9633","GeraldoRivera","revolutionaryma","Tweet_edge",1
"9634","Thomas1774Paine","revsaint08","Tweet_edge",1
"9635","bfry1981","rexlipton","Tweet_edge",1
"9636","itscomedyVines","rexnobow","Tweet_edge",1
