,retweeters,tweeters,edge_type,weight
9091,urssrilu666,sureshultimate,Tweet_edge,1
9092,Meena_ETVnews,suri515,Tweet_edge,1
9093,kanimozhi,surinderseth,Tweet_edge,1
9094,UrjitPatelRBI,suriyaverian1,Tweet_edge,1
9095,gauravcsawant,surnigantiarun,Tweet_edge,1
9096,ItzCash,suryanavin,Tweet_edge,1
9097,MIB_India,suryato6,Tweet_edge,1
9098,PIB_India,suryato6,Tweet_edge,1
9099,Joydeep_911,susantakar3,Tweet_edge,1
9100,mahcongress,sush029,Tweet_edge,1
9101,harshkkapoor,sush091979,Tweet_edge,1
9102,Joydeep_911,sush091979,Tweet_edge,1
9103,Nr_Shiralkar,sushant_singh_,Tweet_edge,1
9104,Nr_Shiralkar,sushanthbablu,Tweet_edge,1
9105,DrKumarVishwas,susheelkalra,Tweet_edge,1
9106,URautelaForever,sushil31752456,Tweet_edge,1
9107,ModiBharosa,sushila_dn,Tweet_edge,1
9108,URautelaForever,sushiljangir007,Tweet_edge,1
9109,rssurjewala,sushilkaushik03,Tweet_edge,1
9110,DrKumarVishwas,sushilkumarra,Tweet_edge,1
9111,gauravcsawant,sushilnair2,Tweet_edge,1
9112,bhaiyyajispeaks,sushilsk444,Tweet_edge,1
9113,PiyushGoyalOffc,sushmaketkar,Tweet_edge,1
9114,SecretaryMEITY,sushmaks2,Tweet_edge,1
9115,myvotetoday,sushthesis,Tweet_edge,1
9116,DrKumarVishwas,susmita_aap,Tweet_edge,1
9117,ms_rana,susmita_aap,Tweet_edge,1
9118,gauravcsawant,suvarnatripathi,Tweet_edge,1
9119,dna,suvigya_saxena,Tweet_edge,1
9120,DrKumarVishwas,suvigya_saxena,Tweet_edge,1
9121,rahulroushan,suvodipd,Tweet_edge,1
9122,ShashiTharoor,suyash1503,Tweet_edge,1
9123,ATEKAssetScan,suzieqnelson,Tweet_edge,1
9124,ModiBharosa,sv_9511,Tweet_edge,1
9125,gauravcsawant,sv99999,Tweet_edge,1
9126,RoflGandhi_,svajjagiri,Tweet_edge,1
9127,aartic02,svaquas,Tweet_edge,1
9128,rssurjewala,sventure007,Tweet_edge,1
9129,DaaruBaazMehta,svictoriajust,Tweet_edge,1
9130,FinancialXpress,svp7,Tweet_edge,1
9131,jairajp,svp7,Tweet_edge,1
9132,jairajp,sw_spot,Tweet_edge,1
9133,YesIamSaffron,swadeshihindu,Tweet_edge,1
9134,priyaakulkarni2,swamigeetika,Tweet_edge,1
9135,ippatel,swamiiii,Tweet_edge,1
9136,ashu3page,swamivipin,Tweet_edge,2
9137,madskak,swapneel_potdar,Tweet_edge,1
9138,ModiBharosa,swapnil1_rs,Tweet_edge,1
9139,5Forty3,swapniljagdale8,Tweet_edge,1
9140,AdityaNair20,swapniljagdale8,Tweet_edge,1
9141,URautelaForever,swapnilsatote,Tweet_edge,1
9142,DrKumarVishwas,swapnilsharma09,Tweet_edge,1
9143,HumorMinistry,swapnilshinde_,Tweet_edge,1
9144,barbarindian,swarajeksankalp,Tweet_edge,1
9145,rahulroushan,swaroopkaimal,Tweet_edge,1
9146,URautelaForever,swaroopx9,Tweet_edge,1
9147,DrGPradhan,swarupkdc,Tweet_edge,1
9148,MahikaInfra,swatchbharat4u,Tweet_edge,2
9149,AbuRC1981,swatisharma1105,Tweet_edge,1
9150,gauravcsawant,swatwal75,Tweet_edge,1
9151,AskAnshul,sway_hi,Tweet_edge,1
9152,ModiBharosa,swayamsevak666,Tweet_edge,1
9153,Timcast,swedensfuture,Tweet_edge,1
9154,Timcast,swedishspaceman,Tweet_edge,1
9155,mahcongress,sweety20161,Tweet_edge,1
9156,URautelaForever,sweta_1101992,Tweet_edge,1
9157,s_cartoons,swetapadmadash,Tweet_edge,1
9158,Joydas,switchhitmaster,Tweet_edge,1
9159,URautelaForever,swityshinde,Tweet_edge,1
9160,swrpa733124,swrpa733124,Tweet_edge,1
9161,RNTata2000,sxp6dbxfufgucc0,Tweet_edge,1
9162,DrKumarVishwas,syadav2010,Tweet_edge,1
9163,bsindia,syedabbas02,Tweet_edge,1
9164,mkatju,syedaleem_pasha,Tweet_edge,1
9165,dna,syedmohdyasir3,Tweet_edge,1
9166,Joydas,syedmohdyasir3,Tweet_edge,1
9167,rssurjewala,syedmohdyasir3,Tweet_edge,1
9168,IndiaToday,syedsazam,Tweet_edge,1
