"","User_name","Node_type","dominance"
"650","svetlanagpiano","User",0
"651","reahrox","User",0
"652","LanaParrilla","User",6.09858042700341
"653","livvy_boyd","User",0
"654","olivierdougla60","User",0
"655","KairaRouda","User",1
"656","jgustar","User",0
"657","lisajeanapple","User",0
"658","huge_organ","User",0
"659","chicksecpro","User",0
"660","catila815","User",0
"661","ecsaibel","User",0
"662","rodstryker","User",0
"663","christinealahti","User",0
"664","kairarouda","User",0
"665","cecilyphoto","User",0
"666","asperry3","User",0
"667","onahunttoday","User",0
"668","ladette_maggie","User",0
"669","educatedcollege","User",0
"670","terpsichore1981","User",0
"671","martianreihiko","User",0
"672","svbtesha","User",0
"673","RiRiHumor","User",1.86643397569993
"674","alledoow","User",0
"675","unfft_indonesia","User",0
"676","roarr4hillary","User",0
"677","sqwizzey","User",0
"678","deebarnum","User",0
"679","sooatwoo","User",1.86643397569993
"680","jillmah98","User",0
"681","printmag","User",3.33975272112699
"682","ggevirtz","User",0
"683","joemchenry2","User",0
"684","whitejacketpink","User",0
"685","arlette3939","User",0
"686","bellagospel","User",0
"687","lorilorisuew","User",0
"688","jjtalko","User",0
"689","ilike2beright","User",0
"690","yasmeenjaquelyn","User",0
"691","camilapelaez2","User",1
"692","911cristiann","User",0
"693","adj1984","User",0
"694","edgarehsbio","User",0
"695","srainin","User",0
"696","leepeter53","User",0
"697","noradjones1000","User",0
"698","liberals_r_lame","User",0
"699","ahilkerr","User",0
"700","katherinegiovan","User",0
"701","cheeto__boy","User",0
"702","nastywoman60","User",0
"703","lovemyfurbabie3","User",0
"704","techgal77","User",0
"705","bluebeachsong","User",0
"706","gibby0816","User",1
"707","jknm1236b","User",0
"708","davidweingust","User",0
"709","kiwionthemove","User",0
"710","sylvee42","User",0
"711","wtfhillary","User",0
"712","cdov123","User",0
"713","3gsunlimited","User",0
"714","sbvilla5","User",0
"715","DJSMOOK","User",1
"716","dotofoz52","User",0
"717","pennycake_","User",0
"718","Almaharel","User",4.25085950529111
"719","aucoinjason","User",0
"720","melsssxo","User",0
"721","emanddaughters","User",0
"722","macredsoles","User",0
"723","kelsablaine","User",0
"724","mommasew","User",0
"725","caradwan","User",0
"726","muenchkatrine","User",0
"727","applegatemary","User",0
"728","selenagomuezs","User",0
"729","partridge26","User",0
"730","heididraper2","User",0
"731","mycurlzrock","User",0
"732","robcamacho","User",0
"733","susyyq7","User",0
"734","HgoAlmonte","User",1
"735","notgalt","User",0
"736","trashieheather","User",0
"737","quinnabeth","User",0
"738","proudamericanmm","User",0
"739","traciejd","User",0
"740","djsmook","User",0
"741","chrisbragdon","User",0
"742","aduanebrown","User",0
"743","unhootchie","User",0
"744","kenneth_dietze","User",0
"745","aldo_garcia14","User",0
"746","tp4reel","User",0
"747","1_socalgirl1","User",0
"748","HolzMAS","User",1
"749","adedapolinda","User",0
"750","veriphile","User",0
"751","tresahorney","User",0
"752","dkwilson56","User",0
"753","lkdavolos","User",0
"754","msmichelelewis","User",0
"755","midwestcoaster","User",0
"756","cldegrandpre","User",0
"757","nmkerr","User",0
"758","AlexiBaker","User",2.75338889968654
"759","moomer_","User",0
"760","ArrghPaine","User",3.02956883827099
"761","souixdog","User",0
"762","loweryrealtor","User",0
"763","eva_02_22","User",0
"764","empowerme57","User",0
"765","jackiexmarin","User",0
"766","Liz_Wheeler","User",2.73286795139986
"767","bonnie24644098","User",0
"768","morgangibbs_","User",0
"769","roripierpont1","User",0
"770","drdj53","User",0
"771","msmckilt","User",0
"772","maysapet","User",0
"773","greennomad61","User",2.56674728830862
"774","littledexy","User",0
"775","kkchides","User",0
"776","UckfayRumptay","User",4.15082912333439
"777","ashishk73762819","User",0
"778","demokratie_bot","User",0
"779","RosalieTenseth","User",0.133566024300068
"780","odessalorraine","User",0
"781","sharonw4510","User",0
"782","jassylively","User",0
"783","LoveMeLuLu22","User",6.01617662446366
"784","ccarter832","User",0
"785","Rusty_Squared","User",2.90696518164452
"786","rawal_jayesh","User",0
"787","madisonkoestler","User",0
"788","sarah_youinou","User",0
"789","kmcbrd2","User",0
"790","ninjaposition_","User",0
"791","rosalietenseth","User",0
"792","maryannsulliv20","User",0
"793","socialissuenews","User",0
"794","silvervoicenyc","User",0
"795","milazzoben","User",0
"796","cdns4trump","User",0
"797","shelliebrwn","User",0
"798","themindofkrw","User",0
"799","goldenerin","User",0
"800","carlgreiner","User",0
"801","michele_eberl","User",0
"802","belletsexy","User",0
"803","dollycent","User",0
"804","jeansanpach","User",0
"805","cynthiafjones","User",0
"806","sundayfitz","User",0
"807","libtearsnobrake","User",0
"808","mayneonnaise","User",0
"809","estellegill10","User",0
"810","bellearline","User",0
"811","ruthpryor7","User",0
"812","sullivanmonty","User",0
"813","nativememphi13","User",0
"814","DodieManer","User",1.50683138513521
"815","lolo_gabby","User",0
"816","dianapereira771","User",0
"817","SherriWrites","User",3.61172878122844
"818","farahmc1","User",1.76357560989513
"819","blulady1920_c","User",0
"820","vadiasdorap","User",0
"821","MUND0NICKIMINAJ","User",1
"822","llbrantley","User",0
"823","LisaDeP","User",1
"824","mojosrising","User",0
"825","theresamhinman","User",0
"826","AJDMaru","User",0.493168614864794
"827","ifrank","User",0
"828","fsierra5fsierra","User",0
"829","SuhaibSaqib1","User",5.19504789672269
"830","rgmart7","User",0
"831","thuglifesocial","User",0
"832","zaynahyouines14","User",0
"833","eemanabbasi","User",3.01179739054262
"834","rachelgamache1","User",0
"835","whatistheimpact","User",0
"836","Zegota42","User",1
"837","irenegomezam123","User",0
"838","bebekojal","User",0
"839","sarahdeedle","User",0
"840","hcowart","User",0
"841","crissynchelle","User",0
"842","pizzaandcoffee","User",0
"843","leslielee327","User",0
"844","mayakyannelee","User",0
"845","clackermom","User",0
"846","rliberalskiddin","User",0
"847","ej119","User",0
"848","ideasonwealth","User",0
"849","juliaioffe","User",1.50683138513521
"850","dandydragonfly","User",0
"851","plz_advise","User",0
"852","LSNpodcasts","User",2.01865556855889
"853","tarab2again","User",0
"854","herrick_a","User",0
